session_id,date,country,source_medium,landing_page,session_value_usd
ses_000001,2023-11-21,AU,affiliate,/product,8.84
ses_000002,2024-06-25,IT,tiktok/cpc,/product,17.62
ses_000003,2024-02-22,US,email,/cart,23.06
ses_000004,2023-01-09,BR,affiliate,/cart,14.47
ses_000005,2025-07-19,BR,affiliate,/landing-sale,3.1
ses_000006,2023-11-09,GB,google/cpc,/home,1.77
ses_000007,2023-10-08,CA,google/cpc,/cart,3.46
ses_000008,2025-09-23,FR,google/cpc,/collection,0.02
ses_000009,2024-03-20,IT,affiliate,/collection,4.88
ses_000010,2025-09-25,MX,facebook/cpc,/home,4.83
ses_000011,2025-04-26,ES,tiktok/cpc,/home,1.9
ses_000012,2023-06-15,GB,email,/cart,5.18
ses_000013,2024-08-21,DE,email,/product,7.81
ses_000014,2024-01-24,ES,affiliate,/cart,8.74
ses_000015,2024-02-03,IT,email,/collection,1.69
ses_000016,2023-10-02,US,organic,/home,2.64
ses_000017,2025-10-04,GB,google/cpc,/product,8.27
ses_000018,2024-12-06,ES,google/cpc,/landing-sale,0.28
ses_000019,2025-07-27,DE,google/cpc,/cart,3.72
ses_000020,2025-10-16,GB,tiktok/cpc,/home,6.68
ses_000021,2023-09-01,US,affiliate,/product,1.8
ses_000022,2024-04-09,BR,organic,/cart,2.32
ses_000023,2023-05-10,CA,facebook/cpc,/cart,3.16
ses_000024,2024-11-15,DE,tiktok/cpc,/collection,0.55
ses_000025,2023-09-02,MX,organic,/cart,4.17
ses_000026,2025-01-29,AU,facebook/cpc,/cart,14.81
ses_000027,2023-01-01,IT,organic,/product,2.4
ses_000028,2023-03-11,CA,google/cpc,/collection,16.77
ses_000029,2024-02-04,GB,affiliate,/product,1.36
ses_000030,2023-08-06,DE,organic,/landing-sale,10.96
ses_000031,2025-01-14,DE,facebook/cpc,/cart,7.45
ses_000032,2023-10-03,DE,email,/collection,8.87
ses_000033,2024-03-20,GB,google/cpc,/collection,0.03
ses_000034,2023-06-28,BR,organic,/landing-sale,4.86
ses_000035,2024-02-15,AU,affiliate,/cart,3.45
ses_000036,2025-08-17,GB,email,/cart,1.76
ses_000037,2025-02-12,AU,tiktok/cpc,/product,0.59
ses_000038,2023-06-06,MX,organic,/collection,2.23
ses_000039,2024-09-15,DE,organic,/home,1.23
ses_000040,2025-01-12,AU,organic,/landing-sale,3.67
ses_000041,2024-09-22,MX,google/cpc,/landing-sale,5.74
ses_000042,2023-03-27,CA,google/cpc,/collection,1.18
ses_000043,2023-12-03,DE,google/cpc,/landing-sale,1.18
ses_000044,2025-10-20,DE,facebook/cpc,/collection,1.76
ses_000045,2025-05-19,CA,google/cpc,/landing-sale,0.99
